station,sample_date,sample_time,water_temperature,number_of_submerged_panels,reset_restart_comp,weather,stream_gauge,turbidity,battery_voltage,dissolved_oxygen,velocity_upstream,velocity_downstream,conductivity,solar_voltage,fyke_closed,fyke_open,downstream_livebox_installed,vaki,barrels,crew_initials,comments1,trap_closed,trap_open,trapping
st031x,2021-09-29,08:30:00,60.3,1,08:43:00,clr,1.88,1.53,25.4/11.5,8.78,2.1,0.6,62.2,2.5/1.5,08:38:00,08:45:00,yes,yes,no,tl; ch,added 3rd barrel where spilling. adjusted camera placement. back up cameras ok; upstream pit tag - charge error; reset,NA,NA,no
st031x,2021-10-01,08:45:00,60.2,0,08:51:00,clr,1.84,3.75,25.8/11.8,8.93,2.1,0.3,58.4,4.5/1.7,08:42:00,08:55:00,yes,yes,no,tl; ch; sd,pit tag readers off- battery dead; back up computer off on arrival- turned on.,NA,NA,no
st031x,2021-10-02,08:45:00,61,0,08:53:00,clr,1.84,2.66,26.4,8.92,2.3,0.5,59.8,5.2,08:45:00,08:54:00,yes,yes,no,ih; mi,NA,NA,NA,no
st031x,2021-10-03,10:00:00,61.3,0,10:20:00,cld,1.82,3.47,27.34,9.7,2.7,0.4,63.6,7.2,10:19:00,10:22:00,yes,yes,no,ih; mi,NA,NA,NA,no
st031x,2021-10-04,10:15:00,59.5,0,10:25:00,cld,1.88,1.64,28.12,9.4,2.5,0.6,60.2,6.7,10:23:00,10:27:00,yes,yes,no,mi; ch; nd,NA,NA,NA,no
st031x,2021-10-05,08:30:00,59.5,0,08:45:00,clr,1.82,0.87,25.96/11.69,9.32,2.8,0.6,56.6,3.1/6.4,08:39:00,08:46:00,yes,yes,no,mi; ch,NA,NA,NA,no
st031x,2021-10-06,09:00:00,60.2,0,09:17:00,cld,1.86,0.98,25.49/12.34,9.23,2.7,0.6,59.4,1.8/2.5,09:08:00,09:18:00,yes,yes,no,mi; ch,NA,NA,NA,no
st031x,2021-10-07,09:30:00,60,0,09:44:00,cld,1.88,4.71,26.67/12.43,9.73,2.6,0.6,61.3,3.0/4.4,09:39:00,09:46:00,yes,yes,no,mi; ih,NA,NA,NA,no
st031x,2021-10-08,09:30:00,59.2,0,09:45:00,clr,1.82,1.17,12.7,9.49,2.7,1.1,62.2,7.1,09:45:00,09:50:00,yes,yes,no,ef; rb,NA,NA,NA,no
st031x,2021-10-09,08:15:00,58.3,0,08:27:00,clr,1.82,1.75,22.5,9.04,2.4,0.6,67.3,1.6,08:21:00,08:31:00,yes,yes,no,sc; ch,NA,NA,NA,no
st031x,2021-10-10,08:15:00,57.4,0,08:31:00,clr,1.8,3.24,22.6,9.28,2.5,0.4,66.1,1,08:28:00,08:34:00,yes,yes,yes,sc; ch,3 barrels northside,NA,NA,no
st031x,2021-10-11,08:30:00,57.2,0,08:57:00,clr,1.8,2.08,12.8,9.49,2.5,0.7,57.2,2.8,08:45:00,09:00:00,yes,yes,no,rb; ch,NA,NA,NA,no
st031x,2021-10-11,18:00:00,58.5,2,NA,nit,1.84,2.79,NA,11.23,NA,NA,72.4,NA,NA,NA,yes,yes,no,ih; mi,NA,NA,NA,no
st031x,2021-10-12,09:45:00,54.6,0,10:00:00,clr,1.85,3.17,13.18,9.99,3.4,1.1,56.9,6.2,09:53:00,10:00:00,yes,yes,no,rb; mi,NA,NA,NA,no
st031x,2021-10-13,09:15:00,53.9,0,09:40:00,cld,1.9,1.21,13.37,10.12,3.3,1,55.7,7.4,09:25:00,09:40:00,yes,yes,no,rb; mi,NA,NA,NA,no
st031x,2021-10-14,09:00:00,54.5,0,09:17:00,clr,1.82,2.89,27.48,10.28,2.8,0.8,62.2,8.3,09:12:00,09:19:00,yes,yes,no,ih; ch,vaki & pit reader on at arrival. backup camera not on at arrival,NA,NA,no
st031x,2021-10-15,09:00:00,54.5,0,08:40:00,clr,0.8,1.75,26.97/12.78,9.99,2.4,0.9,63.2,5.8/1.4,08:35:00,08:50:00,yes,NA,NA,gj; ef; mk,camera was frozen on arrival,NA,NA,no
st031x,2021-10-16,08:30:00,55,0,08:34:00,clr,1.8,2.92,25.38/12.57,9.88,2.9,NA,60.1,2.1/1.1,08:28:00,08:35:00,no,yes,yes,bs; mi,small solar panel removed; four barrels installed on boat passage,NA,NA,no
st031x,2021-10-16,18:00:00,NA,0,NA,clr,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,rb; ih,NA,NA,NA,no
st031x,2021-10-16,23:00:00,53.8,0,NA,nit,2.35,4.92,NA,9.96,NA,NA,57.7,NA,NA,NA,no,yes,yes,rb; ih,NA,NA,NA,no
st031x,2021-10-17,08:30:00,56,0,08:39:00,cld,3.63,5.81,26.9/12.71,9.81,1.9,NA,53.6,2.4/3.4,08:34:00,08:40:00,no,yes,yes,bs; mi,backup camera ok; weir check 0330 and 0730,NA,NA,no
st031x,2021-10-17,16:30:00,NA,0,NA,cld,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,rb; ih,NA,NA,NA,no
st031x,2021-10-17,22:00:00,57.3,0,NA,nit,3.6,2.62,NA,10.06,NA,NA,49.9,NA,NA,NA,no,yes,yes,ih; rb,pit tag reader connected; backup camera connected,NA,NA,no
st031x,2021-10-18,07:30:00,55.6,0,07:45:00,cld,3.6,6.36,25.13/12.45,9.97,1.7,NA,49.8,0.2/0.5,07:38:00,07:46:00,no,yes,yes,bs; mi,NA,NA,NA,no
st031x,2021-10-18,17:30:00,56.7,0,NA,nit,3.44,4.07,25.46,10.61,1.9,NA,59.8,NA,NA,NA,no,yes,yes,sc; rb,NA,NA,NA,no
st031x,2021-10-19,09:45:00,54.4,0,10:10:00,clr,2.35,2.07,13.64,10.07,2.7,NA,57.7,5.2,10:00:00,10:10:00,no,yes,yes,rb; ih,NA,NA,NA,no
st031x,2021-10-19,19:30:00,56.2,0,NA,nit,2.4,3.11,NA,10.93,NA,NA,60.7,NA,NA,NA,no,yes,yes,rb; ih,NA,NA,NA,no
st031x,2021-10-20,09:00:00,56.2,0,09:28:00,cld,3.15,2.05,25.95,9.97,2,NA,55.9,2.9,09:18:00,09:28:00,no,yes,yes,rb; ih,NA,NA,NA,no
st031x,2021-10-20,20:00:00,57.8,0,NA,nit,3.09,2.04,NA,10.47,NA,NA,60.8,NA,NA,NA,no,yes,yes,rb; ih,pit tag reader connected; backup camera connected,NA,NA,no
st031x,2021-10-21,09:00:00,57.2,0,10:40:00,cld,2.9,1.37,12.54,9.73,1.1,NA,67.7,2.4,09:05:00,09:15:00,no,yes,yes,rf; ef,NA,NA,NA,no
st031x,2021-10-21,17:30:00,59.6,0,NA,nit,2.94,3.3,26.2,10.59,1.8,NA,58.3,NA,NA,NA,no,yes,no,sc; bs,NA,NA,NA,no
st031x,2021-10-22,08:00:00,57.5,0,08:13:00,ran,3.76,2.89,25.11/12.46,9.76,2.9,NA,53.2,0.0/0.2,08:04:00,08:14:00,no,yes,yes,ih; mi,NA,NA,NA,no
st031x,2021-10-22,19:00:00,57.5,0,NA,nit,3.88,2.95,25.5,10.33,3.88,NA,57.8,0,NA,NA,no,yes,yes,mk; gj,monitor weir 16:00-24:00,NA,NA,no
st031x,2021-10-23,07:30:00,57,0,07:45:00,cld,4.6,2.4,25.07,10.15,4.2,NA,66.8,0.1,07:38:00,07:46:00,no,yes,yes,ih; mi,monitor weir 00:00-12:00; cleaned at 08:00 and 10:30,NA,NA,no
st031x,2021-10-23,17:30:00,57.5,0,NA,nit,4.55,2.54,25.07,10.71,NA,NA,57.1,0,NA,NA,no,yes,yes,mk; gj,monitor weir 12:00-20:00,NA,NA,no
st031x,2021-10-24,08:00:00,56.9,0,08:02:00,ran,4.34,3.2,25.1/15.6,9.68,2.1,NA,55.9,0,07:55:00,08:04:00,no,yes,yes,mi; bs,backup camera ok,NA,NA,no
st031x,2021-10-24,17:00:00,NA,0,NA,nit,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,rb; ih,pit tag reader disconnected. monitor from 12:00-00:30,NA,NA,no
st031x,2021-10-25,06:30:00,57.6,0,06:36:00,nit,5.6,12.47,24.96/12.29,9.67,NA,NA,78.8,0,06:26:00,06:36:00,no,yes,yes,bs; mi,flow over box; backup camera ok,NA,NA,no
st031x,2021-10-26,12:45:00,56.6,28,12:45:00,cld,2.75,16.38,29.68,9.69,2,NA,75.5,6.5,12:45:00,12:50:00,no,no,yes,rb; ih,weir floating again at 10:30. vaki reconnected after process. pit tag reader reconnected. downstream red buoys missing,NA,NA,no
st031x,2021-10-27,09:00:00,55.7,0,09:10:00,clr,2.7,6.99,26.66,9.7,2,NA,67.9,5.6,09:05:00,09:10:00,no,yes,yes,rb; mi,NA,NA,NA,no
st031x,2021-10-27,19:00:00,58.4,0,NA,nit,2.8,1.85,25.5,10.46,NA,NA,65.8,1.3,NA,NA,no,yes,yes,ih; mi,pit tag reader connected; backup camera connected,NA,NA,no
st031x,2021-10-28,09:30:00,56.7,0,09:56:00,cld,3.35,3.61,26.21,9.92,2,NA,69.1,2.8,09:47:00,09:56:00,no,yes,yes,rb; ih,pit tag reader connected; backup camera connected,NA,NA,no
st031x,2021-10-19,08:30:00,56.5,0,08:45:00,cld,2.92,2.03,25.51/12.55,9.77,2,NA,63.4,4.3/1.4,08:30:00,08:45:00,no,yes,yes,ih; bs,pit tag reader connected; backup camera connected,NA,NA,no
st031x,2021-10-29,08:30:00,56.5,0,08:45:00,cld,2.9,20.3,25.61/12.55,9.77,2,NA,63.4,4.3/1.4,08:30:00,08:45:00,no,yes,yes,ih; bs,pit tag reader connected; backup camera connected,NA,NA,no
st031x,2021-10-29,23:00:00,57.8,0,NA,nit,3.58,4.15,25.37,10.12,NA,NA,63.8,0,NA,NA,no,yes,yes,ih; mi,pit tag reader connected; backup camera connected,NA,NA,no
st031x,2021-10-30,08:55:00,56.8,0,09:00:00,clr,3.82,1.72,26.68,9.85,1.7,NA,58.8,1.2,08:45:00,09:00:00,no,yes,yes,gj; bs,NA,NA,NA,no
st031x,2021-10-30,20:00:00,57.3,0,NA,nit,4.34,4.74,25.35,10.14,NA,NA,72.1,0,NA,NA,no,yes,yes,mi; ih,monitor from 19:00-01:00; checked at 00:00. pit tag reader and backup camera connected.,NA,NA,no
st031x,2021-10-31,08:30:00,55.9,0,08:35:00,cld,4.35,3.53,25.59,9.99,3.1,NA,64.5,2.9,08:30:00,08:40:00,no,yes,yes,rb; mk,NA,NA,NA,no
st031x,2021-11-01,09:45:00,56.1,2,10:04:00,cld,3.6,2.3,26.61,10.02,1.5,NA,60.1,1.8,09:54:00,10:05:00,no,yes,yes,rb; ef,NA,NA,NA,no
st031x,2021-11-02,12:00:00,NA,NA,12:15:00,cld,2.55,1.51,29.3,NA,2.1,NA,66.5,4.5,12:05:00,12:15:00,no,yes,yes,rb; ih,NA,NA,NA,no
st031x,2021-11-03,08:30:00,56.9,0,08:39:00,clr,3.06,2.2,25.63/12.51,9.8,1.8,NA,60.7,2.7/1.0,08:35:00,08:40:00,no,yes,yes,mi; bs,pit tag reader connected; backup camera connected,NA,NA,no
st031x,2021-11-04,08:30:00,57,0,08:43:00,cld,2.38,0.99,25.5,9.54,1.2,NA,64.2,1.5,08:38:00,08:45:00,no,yes,yes,tl; ih,pit tag reader connected; backup camera connected. vaki may be going on/off,09:10:00,NA,yes
st031x,2021-11-04,12:00:00,58.3,0,NA,cld,2.32,2.5,27.7,10.33,NA,NA,62.2,6,NA,NA,no,yes,yes,tl; ih; bs,checked trap and removed barrels under boat passage,NA,NA,yes
st031x,2021-11-04,15:45:00,59.2,0,NA,clr,2.3,1.22,NA,11.12,NA,NA,61.1,NA,NA,NA,no,yes,yes,tl; ih; bs,checked & opened trap; no fish,NA,15:40:00,yes
st031x,2021-11-05,08:45:00,56.2,0,08:53:00,clr,1.97,1.04,26.6,8.77,1.9,NA,54.1,5,08:48:00,08:54:00,no,yes,yes,tl; sd,set trap. pit tag reader connected; backup camera connected,09:00:00,NA,yes
st031x,2021-11-05,13:00:00,58.8,0,NA,clr,1.87,1.32,NA,9.58,NA,NA,54.9,NA,NA,NA,no,yes,yes,tl; sd,trap check,NA,NA,yes
st031x,2021-11-05,16:00:00,59,0,NA,cld,1.85,1.44,NA,10.02,NA,NA,54.5,NA,NA,NA,no,yes,yes,tl; sd,trap opened at 1600; checked- no fish,NA,16:00:00,yes
st031x,2021-11-06,08:15:00,56,0,08:24:00,cld,1.86,1.42,25.39/12.53,8.93,3,NA,51.1,1.3/1.2,08:18:00,08:25:00,no,yes,yes,mi; sd,NA,NA,NA,no
st031x,2021-11-07,08:15:00,56,0,08:25:00,clr,1.86,1.98,27.37/13.08,9.19,3.1,NA,52.3,7.9/2.0,08:18:00,08:26:00,no,yes,yes,mi; nd,pit tag reader connected; backup camera connected,NA,NA,no
st031x,2021-11-08,04:15:00,54.5,0,NA,nit,1.88,1.24,NA,9.28,NA,NA,65.8,NA,NA,NA,no,yes,yes,tl; ih,set trap,04:15:00,NA,yes
st031x,2021-11-08,08:00:00,53.5,0,07:30:00,clr,1.82,1.17,25.6/12.5/12.5,9.46,1.2,NA,59.3,1.0/1.0/1.1,07:15:00,07:34:00,no,yes,yes,tl; ih,backup camera ok; pit tag reader ok. checked trap at 8:00- no fish; escaped ds; narrowed fyke trap to 10.5 cm,NA,NA,yes
st031x,2021-11-08,09:30:00,53.4,0,NA,clr,1.8,1.48,NA,10.33,NA,NA,58.6,NA,NA,NA,no,yes,yes,tl; ih,checked trap- no fish,NA,NA,yes
st031x,2021-11-08,13:15:00,56.4,0,NA,clr,1.8,1.16,NA,11.3,NA,NA,64.8,NA,NA,NA,yes,yes,yes,bs; sd; mi; ld,trap check; downstream livebox installed,NA,NA,yes
st031x,2021-11-08,16:30:00,NA,0,NA,cld,1.8,1.06,NA,NA,2.1,0.4,NA,NA,NA,NA,yes,yes,yes,jp; rb,no fish in trap,NA,NA,yes
st031x,2021-11-08,20:30:00,NA,0,NA,nit,1.8,NA,NA,NA,2.1,NA,NA,NA,NA,NA,yes,yes,yes,jp; rb,no fish in trap; installed 2nd fyke at 21:50 upstream of scanner plates,NA,NA,yes
st031x,2021-11-09,02:15:00,NA,0,NA,nit,1.8,1.06,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,jp; rb,NA,NA,NA,yes
st031x,2021-11-09,04:00:00,NA,0,NA,nit,1.8,NA,NA,NA,2.1,NA,NA,NA,NA,NA,yes,yes,yes,jp; rb,removed 2nd test fyke at 04:30,NA,NA,yes
st031x,2021-11-09,07:30:00,54.9,0,08:09:00,cld,1.81,2.22,25.4/12.5/12.5,9.72,1.7,0,62.9,1.7/2.1/1.6,08:02:00,08:10:00,yes,yes,yes,tl; ih,4 chn escaped trap upstream; 1 released due to condition. pulled trap to fix edges. processed fish at 6:30,NA,NA,yes
st031x,2021-11-09,09:30:00,54.6,0,NA,ran,1.82,1.87,NA,10.8,NA,NA,69.8,NA,NA,NA,yes,yes,yes,tl; ih,NA,NA,NA,yes
st031x,2021-11-09,13:00:00,55.7,0,NA,cld,1.82,1.52,27.3,11.3,NA,NA,63.2,4.9,NA,NA,yes,yes,yes,tl; ih,processed fish as they entered trap; passed upstream,NA,NA,yes
st031x,2021-11-09,17:00:00,55.8,0,NA,clr,1.85,0.72,NA,12.08,1.7,0.4,64.2,NA,NA,NA,yes,yes,yes,jp; rb,NA,NA,NA,yes
st031x,2021-11-09,20:00:00,NA,0,NA,nit,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,jp; rb,NA,NA,NA,yes
st031x,2021-11-09,23:30:00,NA,0,NA,nit,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,jp; rb,vaki numbers seem off; red line on scanner,NA,23:40:00,yes
st031x,2021-11-10,10:45:00,55.2,0,10:53:00,cld,1.81,1.66,27.4/13.9/13.9,10.88,2,0,73.3,3.8/4.6/3.4,10:45:00,10:56:00,yes,yes,yes,tl; bs,pit tag reader connected; backup camera connected. removed fyke passage at 11:00 to fix netting.,NA,NA,no
st031x,2021-11-11,04:30:00,55.1,0,NA,nit,1.82,NA,NA,9.83,NA,NA,66,NA,NA,NA,yes,yes,yes,tl; ih,set trap,04:40:00,NA,yes
st031x,2021-11-11,07:30:00,55.2,0,07:42:00,fog,1.82,NA,25.2/12.5/12.5,9.75,1.9,0,66.8,0.6/0.9/0.8,07:34:00,07:43:00,yes,yes,yes,tl; ih,backup camera ok; pit tag reader ok. lost turbidity sample,NA,NA,yes
st031x,2021-11-11,10:00:00,55.1,0,NA,cld,1.81,NA,NA,10.36,NA,NA,63.3,NA,NA,NA,yes,yes,yes,tl; ih,checked trap- no fish,NA,NA,yes
st031x,2021-11-11,13:30:00,56.6,0,NA,clr,1.8,NA,NA,12.05,NA,NA,61.2,NA,13:15:00,13:45:00,yes,yes,yes,mk; jm,NA,NA,NA,yes
st031x,2021-11-11,17:15:00,56.3,0,NA,clr,1.8,1.38,NA,12.39,1.5,0.4,66.6,NA,NA,NA,yes,yes,yes,rb; ld,NA,17:30:00,17:40:00,yes
st031x,2021-11-11,21:00:00,NA,NA,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; ld,NA,NA,NA,yes
st031x,2021-11-12,01:00:00,NA,0,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; ld,NA,NA,NA,yes
st031x,2021-11-12,04:00:00,NA,0,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; ld,NA,04:00:00,04:15:00,yes
st031x,2021-11-12,07:00:00,54.8,0,09:20:00,fog,1.8,1.81,25.35,9.73,1.3,0,65.8,1.1,08:10:00,09:22:00,yes,yes,yes,ih; sd,female chinook escaped downstream through gap in bulkhead and panel. pit tag reader connected; backup camera connected. repaired the gap in the bulkhead and panel.,NA,NA,yes
st031x,2021-11-12,13:00:00,55.4,0,NA,cld,1.8,1.84,27.6/13.29,11.87,NA,NA,64.8,5.3/6.5,NA,NA,yes,yes,yes,bs; nd,no passages. nothing in trap. backup camera ok; pit tag reader ok.,NA,NA,yes
st031x,2021-11-12,17:15:00,56.1,0,NA,cld,1.8,1.15,NA,12.53,2.1,0.4,63.1,NA,NA,NA,yes,yes,yes,rb; ld,NA,NA,NA,yes
st031x,2021-11-12,21:15:00,NA,0,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; ld,NA,NA,NA,yes
st031x,2021-11-12,23:45:00,NA,0,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; ld,removed trap,NA,23:55:00,yes
st031x,2021-11-13,08:30:00,55.4,0,08:47:00,cld,1.8,1.34,25.38,9.81,2.5,0,63.3,1.7,08:35:00,08:50:00,yes,yes,yes,ih; sd,pit tag reader connected; backup camera connected,NA,NA,no
st031x,2021-11-14,08:15:00,55.9,0,08:25:00,cld,1.8,2.03,25.14/12.45,9.6,2.7,0.2,61.5,0.8/1.2,08:16:00,08:26:00,yes,yes,yes,mi; nd,backup camera ok,NA,NA,no
st031x,2021-11-15,10:00:00,56.6,0,10:05:00,cld,1.81,0.87,25.99,9.9,2.9,0.8,71.9,2.21,09:55:00,10:10:00,yes,yes,yes,mk; gj,NA,NA,NA,no
st031x,2021-11-16,04:30:00,56.2,0,NA,nit,1.82,NA,NA,9.68,NA,NA,66.8,0,NA,NA,yes,yes,yes,tl; jp,installed trap with 2nd fyke,04:30:00,NA,yes
st031x,2021-11-16,07:15:00,56,0,07:26:00,cld,1.79,2.21,25.55,9.49,1.9,0,66.5,0,NA,NA,yes,yes,yes,tl; jp,NA,NA,NA,yes
st031x,2021-11-16,10:00:00,NA,0,NA,cld,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,tl; jp,checked trap- no fish,NA,NA,yes
st031x,2021-11-16,13:30:00,56.3,0,NA,cld,1.8,1.22,NA,10.87,1.5,0.1,68.8,NA,NA,NA,yes,yes,yes,ld; ih,checked trap- no fish,NA,NA,yes
st031x,2021-11-16,17:30:00,56,0,NA,nit,1.8,1.45,NA,11.06,2.1,0.4,64.4,NA,NA,NA,yes,yes,yes,rb; mi,NA,NA,NA,yes
st031x,2021-11-16,21:00:00,NA,0,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; mi,NA,NA,NA,yes
st031x,2021-11-17,00:15:00,NA,0,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; mi,NA,NA,NA,yes
st031x,2021-11-17,04:00:00,NA,0,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; mi,NA,NA,NA,yes
st031x,2021-11-17,08:30:00,54.4,0,08:51:00,cld,1.81,2.7,25.7/12.3/12.3,9.97,NA,0,67.3,2.3/2.9/2.3,08:30:00,08:44:00,yes,yes,yes,tl; jp,NA,NA,NA,yes
st031x,2021-11-17,12:30:00,56,0,NA,cld,1.78,NA,NA,11.84,NA,NA,70.5,NA,NA,NA,yes,yes,yes,tl; jp,checked trap- no fish,NA,NA,yes
st031x,2021-11-17,17:00:00,55.9,0,NA,nit,1.8,1.24,NA,12.33,2.1,0.4,61.2,NA,NA,NA,yes,yes,yes,rb; mi,NA,NA,NA,yes
st031x,2021-11-17,21:00:00,NA,0,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; mi,NA,NA,NA,yes
st031x,2021-11-18,00:00:00,NA,0,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; mi,checked and removed trap,NA,00:00:00,yes
st031x,2021-11-18,08:00:00,54,0,08:35:00,cld,1.78,1.26,25.81,9.81,2.4,0.1,66.2,1.5,08:20:00,08:37:00,yes,yes,yes,sc; ef,installed downstream passage to trap,NA,NA,no
st031x,2021-11-19,04:30:00,54.5,0,NA,nit,1.8,NA,NA,10.07,2.4,0,65.2,NA,NA,NA,yes,yes,yes,jp; tl,installed trap with 2nd fyke,04:15:00,NA,yes
st031x,2021-11-19,07:30:00,54,0,08:12:00,cld,1.8,1.61,25.8,10.02,2.4,0,67,2.6,08:03:00,08:13:00,yes,yes,yes,jp; tl,pit tag reader connected; backup cameras connected. checked trap at 7:15- 1 m;y escaped upstream? checked trap at 09:00- no fish,NA,NA,yes
st031x,2021-11-19,13:00:00,56.4,0,NA,clr,1.8,1.1,30.13/13.82,11.92,NA,NA,65.5,1.1/0.7,NA,NA,yes,yes,yes,bs; sd,checked trap - no fish; zero passages. vaki connected,NA,NA,yes
st031x,2021-11-19,17:00:00,56.9,0,NA,nit,1.8,0.88,NA,12.26,2.1,0.4,61.3,NA,NA,NA,yes,yes,yes,rb; mi,NA,NA,NA,yes
st031x,2021-11-19,21:00:00,NA,0,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; mi,NA,NA,NA,yes
st031x,2021-11-20,01:00:00,NA,0,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; mi,NA,NA,NA,yes
st031x,2021-11-20,04:00:00,NA,0,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; mi,NA,NA,NA,yes
st031x,2021-11-20,07:00:00,55.6,0,07:06:00,cld,1.8,1.26,25.3,9.47,1.7,0,65.1,0.1,06:50:00,07:07:00,yes,yes,yes,tl; ch,backup camera & pit tag reader ok. monitored trap from 6:30-13:00; temps ok,NA,NA,yes
st031x,2021-11-20,17:15:00,56.6,0,NA,nit,1.86,1.08,25.61/12.69,11.9,2.1,0.4,60.9,0,NA,NA,yes,yes,yes,rb; mi,NA,NA,NA,yes
st031x,2021-11-20,21:00:00,NA,0,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; mi,NA,NA,NA,yes
st031x,2021-11-21,00:00:00,NA,NA,NA,nit,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,rb; mi,NA,NA,NA,yes
st031x,2021-11-21,08:00:00,53,0,07:56:00,cld,1.8,2.32,"25.54, 12.43",10.05,3.1,0.2,77.6,"2.0, 1.3",07:50:00,07:57:00,yes,yes,yes,bs; nd,pit tag reader ok; backup cameras ok,NA,NA,yes
st031x,2021-11-22,04:15:00,53,0,NA,nit,1.8,NA,NA,10.11,NA,NA,69.6,NA,NA,NA,yes,yes,yes,tl; jp,installed trap with second fyke,04:15:00,NA,yes
st031x,2021-11-22,08:15:00,51.7,0,08:23:00,cld,1.8,1.17,25.7,10.56,2.4,0,66.8,2.1,08:13:00,08:26:00,yes,yes,yes,tl; jp,backup camera & pit tag reader ok. monitored trap until 10:00 - no fish,NA,NA,yes
st031x,2021-11-22,13:00:00,54.1,0,NA,clr,1.82,2,29.28,12.44,NA,NA,86.7,4.8,NA,NA,yes,yes,yes,ih;nd,pit tag reader ok; backup cameras ok,NA,NA,yes
st031x,2021-11-22,17:30:00,54,0,NA,nit,1.82,1.13,25.63/12.80,12.45,2.1,0,76.6,0,NA,NA,yes,yes,yes,jp; mi,NA,NA,NA,yes
